"","District","Name","TEA","NCES","Charter","All.Math","All.Reading","Econ_Dis.Math","Econ_Dis.Reading","Female.Math","Female.Reading","Male.Math","Male.Reading","At_Risk.Math","At_Risk.Reading","Special.Math","Special.Reading"
"115",43905,"FRISCO ISD","C","21","N","65","65","32","37","63","67","67","62","31","28","39","36"
"116",43907,"MCKINNEY ISD","D","22","N","57","53","42","38","56","58","57","49","39","32","38","34"
"117",43908,"MELISSA ISD","F","22","N","75","66","50","53","72","72","78","61","52","35","58","42"
"118",43910,"PLANO ISD","B","11","N","65","60","43","37","62","64","67","57","43","34","40","37"
"119",43911,"PRINCETON ISD","F","22","N","47","42","40","34","39","38","54","46","34","26","29","21"
"120",43912,"PROSPER ISD","D","41","N","65","60","44","36","64","62","67","57","41","34","42","36"
"121",43914,"WYLIE ISD","D","21","N","70","62","56","47","69","67","71","57","44","32","48","41"
"122",43918,"COMMUNITY ISD","D","41","N","57","56","55","49","55","61","59","49","43","47","21","21"
"123",43919,"LOVEJOY ISD","G","21","N","85","77","60","70","79","78","91","75","62","54","52","52"
"124",44902,"WELLINGTON ISD","H","43","N","36","38","24","28","22","35","50","41","8","16","14","14"
"125",45902,"COLUMBUS ISD","G","33","N","49","35","40","29","56","37","44","33","30","15","55","55"
"126",45903,"RICE CISD","G","42","N","45","25","41","22","39","24","50","26","25","13","17","17"
"127",46901,"NEW BRAUNFELS ISD","C","13","N","55","55","37","39","52","57","57","53","29","32","33","35"
"128",46902,"COMAL ISD","B","41","N","59","56","39","39","58","59","60","54","32","24","30","31"
"129",47901,"COMANCHE ISD","G","41","N","52","39","47","27","68","48","38","31","41","24","31","23"
"130",49901,"GAINESVILLE ISD","E","41","N","43","30","39","27","43","36","43","25","30","18","38","21"
"131",49902,"MUENSTER ISD","H","43","N","60","60","14","29","67","80","55","45","0","0","11","11"
"132",49903,"VALLEY VIEW ISD","H","42","N","53","53","43","43","46","38","58","64","44","28","17","33"
"133",49905,"CALLISBURG ISD","G","42","N","44","43","32","34","50","52","38","33","17","17","40","0"
"134",50902,"GATESVILLE ISD","D","32","N","47","46","41","36","48","52","47","41","24","10","25","25"
"135",50910,"COPPERAS COVE ISD","D","22","N","53","47","45","37","50","45","56","49","28","23","37","38"
"136",52901,"CRANE ISD","D","32","N","48","40","49","36","51","49","44","31","47","37","40","40"
"137",54903,"RALLS ISD","H","42","N","26","29","23","15","18","29","33","28","6","6","17","17"
"138",56901,"DALHART ISD","G","41","N","38","21","33","11","36","19","40","23","17","7","30","30"
"139",57803,"UPLIFT EDUCATION","I","11","Y","45","36","40","31","44","40","45","32","29","19","29","22"
"140",57806,"ADVANTAGE ACADEMY","I","21","Y","20","21","15","17","16","24","24","18","9","9","17","0"
"141",57807,"LIFE SCHOOL","I","21","Y","25","34","23","30","26","39","23","28","12","10","22","22"
"142",57813,"TRINITY BASIN PREPARATORY","I","11","Y","39","33","38","32","40","37","37","28","38","33","23","19"
"143",57816,"A W BROWN LEADERSHIP ACADEMY","I","11","Y","32","26","35","30","35","29","30","22","20","21","27","27"
"144",57829,"A+ ACADEMY","I","11","Y","24","22","25","22","23","27","24","14","21","19","31","31"
"145",57835,"GOLDEN RULE CHARTER SCHOOL","I","11","Y","54","46","53","46","49","51","58","42","51","41","17","17"
"146",57839,"LA ACADEMIA DE ESTRELLAS","I","11","Y","38","30","37","27","33","31","43","27","38","24","9","18"
"147",57846,"LEGACY PREPARATORY","I","21","Y","33","32","26","26","32","35","34","29","25","28","9","0"
"148",57848,"INTERNATIONAL LEADERSHIP OF TEXAS","I","21","Y","36","39","30","31","33","42","40","34","26","26","20","23"
"149",57903,"CARROLLTON-FARMERS BRANCH ISD","B","21","N","48","44","40","35","49","48","48","41","39","31","35","27"
"150",57904,"CEDAR HILL ISD","B","21","N","38","32","35","28","38","33","37","31","25","19","21","19"
"151",57905,"DALLAS ISD","A","11","N","45","42","42","39","43","46","46","39","44","42","29","26"
"152",57906,"DESOTO ISD","B","21","N","34","27","31","26","36","32","32","23","21","15","23","23"
"153",57907,"DUNCANVILLE ISD","B","21","N","42","38","41","36","37","40","46","36","35","27","33","23"
"154",57909,"GARLAND ISD","B","21","N","53","48","47","43","52","52","54","44","46","39","32","26"
"155",57910,"GRAND PRAIRIE ISD","B","21","N","50","45","47","40","48","48","52","41","42","34","27","25"
"156",57912,"IRVING ISD","B","12","N","42","33","40","30","41","36","43","30","34","22","30","21"
"157",57913,"LANCASTER ISD","B","21","N","43","39","43","36","44","41","42","37","37","30","26","24"
"158",57914,"MESQUITE ISD","B","21","N","45","39","43","36","43","40","47","38","43","34","30","28"
"159",57916,"RICHARDSON ISD","B","11","N","55","48","40","31","52","50","57","46","36","25","31","26"
"160",57919,"SUNNYVALE ISD","D","41","N","59","65","17","13","62","72","56","59","36","9","23","27"
"161",57922,"COPPELL ISD","B","21","N","72","70","29","39","70","73","74","68","48","42","36","38"
"162",58906,"LAMESA ISD","G","33","N","30","22","22","14","26","20","32","23","20","13","20","20"
"163",59901,"HEREFORD ISD","D","32","N","39","36","38","33","39","38","40","33","31","30","23","12"
"164",59902,"WALCOTT ISD","H","43","N","45","40","38","23","55","45","33","33","10","10","17","17"
"165",61901,"DENTON ISD","C","12","N","49","45","37","32","44","49","53","40","32","26","32","24"
"166",61902,"LEWISVILLE ISD","B","21","N","52","50","30","29","51","54","53","47","27","23","31","29"
"167",61903,"PILOT POINT ISD","D","31","N","35","35","26","26","32","39","37","33","27","30","50","40"
"168",61905,"KRUM ISD","D","31","N","34","38","23","20","30","32","37","42","17","13","15","12"
"169",61906,"PONDER ISD","D","42","N","52","32","37","20","45","34","58","30","33","8","33","0"
"170",61907,"AUBREY ISD","D","41","N","59","54","37","40","54","55","63","52","42","32","29","17"
"171",61908,"SANGER ISD","D","41","N","46","41","38","35","42","48","50","34","30","20","15","15"
"172",61910,"ARGYLE ISD","D","41","N","70","60","52","41","66","63","73","57","42","24","46","41"
"173",61911,"NORTHWEST ISD","D","41","N","54","56","34","37","53","60","55","52","33","31","30","31"
"174",61912,"LAKE DALLAS ISD","D","21","N","48","47","40","35","49","52","47","43","30","24","29","26"
"175",61914,"LITTLE ELM ISD","D","21","N","42","44","32","36","39","48","45","40","27","26","29","32"
"176",62901,"CUERO ISD","G","32","N","39","37","29","29","28","32","51","42","23","21","38","33"
"177",62903,"YOAKUM ISD","G","32","N","48","29","44","24","40","27","54","31","25","11","15","15"
"178",62904,"YORKTOWN ISD","H","43","N","26","17","17","10","15","20","35","15","5","10","33","17"
"179",64903,"CARRIZO SPRINGS CISD","D","33","N","51","46","45","37","55","51","48","40","35","28","11","22"
"180",65901,"CLARENDON ISD","H","43","N","67","64","59","47","50","63","82","65","69","50","38","25"
"181",66902,"SAN DIEGO ISD","G","32","N","29","31","28","30","19","24","41","39","15","11","30","30"
"182",66903,"FREER ISD","H","43","N","23","19","22","11","19","19","27","19","15","7","25","13"
"183",67902,"CISCO ISD","H","33","N","41","54","26","26","21","53","51","54","7","14","13","13"
"184",67903,"EASTLAND ISD","G","33","N","52","49","43","39","51","44","53","53","44","32","38","50"
"185",67907,"RANGER ISD","H","43","N","15","36","16","40","13","33","17","39","0","20","17","50"
"186",68901,"ECTOR COUNTY ISD","C","12","N","35","35","30","29","36","37","35","32","26","27","22","21"
"187",70801,"WAXAHACHIE FAITH FAMILY ACADEMY","I","11","Y","16","20","16","20","12","20","20","20","13","16","0","0"
"188",70903,"ENNIS ISD","D","41","N","46","43","43","38","42","47","49","40","24","17","32","26"
"189",70905,"FERRIS ISD","B","41","N","47","43","46","43","42","39","51","47","42","42","22","13"
"190",70908,"MIDLOTHIAN ISD","C","21","N","56","47","33","27","57","50","55","45","26","23","33","28"
"191",70910,"PALMER ISD","D","41","N","56","49","53","50","53","48","59","51","25","13","54","38"
"192",70911,"RED OAK ISD","D","21","N","44","43","39","35","42","46","46","40","28","21","27","31"
"193",70912,"WAXAHACHIE ISD","C","21","N","55","53","40","41","55","57","54","49","35","24","31","29"
"194",71801,"BURNHAM WOOD CHARTER SCHOOL DISTRI","I","11","Y","62","56","57","49","53","51","73","64","62","57","33","50"
"195",71806,"HARMONY SCIENCE ACAD (EL PASO)","I","11","Y","46","37","43","33","49","43","44","32","38","31","36","22"
"196",71901,"CLINT ISD","B","21","N","46","36","45","33","45","37","48","34","39","27","28","28"
"197",71902,"EL PASO ISD","A","11","N","48","46","42","40","44","48","51","45","37","35","31","30"
"198",71903,"FABENS ISD","G","31","N","54","46","54","44","56","51","52","42","50","40","21","8"
"199",71904,"SAN ELIZARIO ISD","B","21","N","50","42","49","41","49","40","52","43","45","37","29","38"
"200",71905,"YSLETA ISD","A","11","N","57","48","53","44","56","51","58","45","44","38","36","30"
"201",71906,"ANTHONY ISD","H","21","N","35","35","35","35","38","33","32","36","18","14","0","0"
"202",71907,"CANUTILLO ISD","B","11","N","54","53","48","45","60","59","50","49","41","41","26","28"
"203",71909,"SOCORRO ISD","A","11","N","55","49","52","45","54","53","57","45","42","33","35","32"
"204",72902,"DUBLIN ISD","G","41","N","89","88","89","89","80","87","95","89","91","89","86","71"
"205",72903,"STEPHENVILLE ISD","E","33","N","61","52","45","36","58","50","63","54","33","25","51","46"
"206",73903,"MARLIN ISD","G","32","N","21","13","21","13","18","11","24","15","13","0","0","0"
"207",73905,"ROSEBUD-LOTT ISD","H","42","N","26","38","27","37","22","43","32","32","5","19","0","29"
"208",74903,"BONHAM ISD","E","32","N","41","39","33","32","38","36","44","42","7","17","27","20"
"209",74909,"LEONARD ISD","H","42","N","42","43","30","27","43","43","40","44","9","9","17","33"
"210",75902,"LA GRANGE ISD","E","33","N","45","41","20","14","42","47","48","36","14","9","21","29"
"211",75903,"SCHULENBURG ISD","H","33","N","46","28","43","24","30","22","59","33","34","24","58","42"
"212",77902,"LOCKNEY ISD","H","43","N","31","17","14","14","33","17","29","18","6","0","0","0"
"213",79901,"LAMAR CISD","C","21","N","65","56","55","45","65","61","65","53","50","40","32","26"
"214",79906,"NEEDVILLE ISD","D","41","N","55","54","41","42","53","61","57","47","32","32","30","37"
"215",79907,"FORT BEND ISD","B","21","N","58","56","39","36","57","59","60","53","42","37","34","30"
"216",79910,"STAFFORD MSD","B","21","N","42","38","38","34","41","42","43","33","33","28","19","19"
"217",80901,"MOUNT VERNON ISD","G","33","N","45","23","41","18","46","23","45","23","48","28","0","0"
"218",81902,"FAIRFIELD ISD","G","33","N","45","47","34","43","40","48","52","46","26","11","33","11"
"219",81904,"TEAGUE ISD","G","33","N","54","45","47","40","48","39","58","50","36","31","71","57"
"220",82902,"DILLEY ISD","G","41","N","50","27","44","20","50","17","50","33","0","0","22","22"
"221",82903,"PEARSALL ISD","G","33","N","31","32","31","32","29","32","32","32","23","23","36","55"
"222",83901,"SEAGRAVES ISD","H","43","N","31","24","33","21","22","22","39","26","23","10","20","20"
"223",83903,"SEMINOLE ISD","G","33","N","54","46","53","38","45","47","63","46","35","19","28","34"
"224",84802,"ODYSSEY ACADEMY INC","I","31","Y","27","24","23","12","21","16","32","32","13","13","60","60"
"225",84901,"DICKINSON ISD","C","22","N","53","43","47","35","52","48","53","38","39","25","37","27"
"226",84902,"GALVESTON ISD","C","31","N","56","46","52","39","58","52","54","40","52","42","32","34"
"227",84906,"TEXAS CITY ISD","D","22","N","35","28","34","26","35","33","36","23","24","14","18","10"
"228",84908,"HITCHCOCK ISD","D","22","N","27","35","20","31","23","40","30","32","18","19","37","37"
"229",84909,"SANTA FE ISD","D","22","N","54","44","45","38","52","48","55","41","23","13","32","29"
"230",84910,"CLEAR CREEK ISD","B","21","N","52","53","36","38","50","58","54","48","37","35","28","27"
"231",84911,"FRIENDSWOOD ISD","G","21","N","62","64","37","34","59","65","66","63","16","20","45","48"
"232",86901,"FREDERICKSBURG ISD","E","33","N","54","51","41","40","55","54","53","48","37","43","15","12"
"233",88902,"GOLIAD ISD","G","42","N","40","34","31","24","52","39","29","31","24","13","17","8"
"234",89901,"GONZALES ISD","G","32","N","47","35","40","32","44","34","49","37","35","20","31","23"
"235",89903,"NIXON-SMILEY CISD","G","43","N","32","32","36","32","32","29","33","38","24","12","25","17"
"236",90904,"PAMPA ISD","G","33","N","48","40","42","32","44","40","52","40","28","15","31","31"
"237",91903,"DENISON ISD","D","13","N","47","45","40","39","41","45","54","46","18","20","39","35"
"238",91905,"HOWE ISD","D","41","N","57","58","39","54","52","59","62","57","40","38","50","40"
"239",91906,"SHERMAN ISD","C","13","N","39","40","38","36","37","42","42","39","33","29","24","26"
"240",91907,"TIOGA ISD","F","42","N","72","55","79","36","82","71","67","47","50","30","38","25"
"241",91908,"VAN ALSTYNE ISD","D","41","N","50","52","29","32","53","54","47","49","14","21","33","17"
"242",91909,"WHITESBORO ISD","D","32","N","49","45","39","35","36","46","59","44","28","19","21","21"
"243",91910,"WHITEWRIGHT ISD","H","42","N","36","33","23","7","47","47","31","25","25","0","20","20"
"244",91913,"POTTSBORO ISD","D","23","N","54","43","49","39","45","41","63","46","34","14","20","30"
"245",91914,"S AND S CISD","D","41","N","57","59","50","47","52","56","63","63","29","35","20","40"
"246",91917,"GUNTER ISD","F","42","N","61","44","46","17","58","42","64","47","30","9","40","0"
"247",92901,"GLADEWATER ISD","D","23","N","25","35","19","31","17","49","30","26","18","27","30","30"
"248",92902,"KILGORE ISD","D","31","N","40","39","37","38","37","42","42","37","30","29","30","27"
"249",92903,"LONGVIEW ISD","C","13","N","54","46","46","37","50","47","58","45","44","36","43","37"
"250",92904,"PINE TREE ISD","D","13","N","45","37","38","30","43","35","47","39","35","23","25","26"
"251",92906,"SABINE ISD","D","41","N","65","51","60","46","64","53","66","49","50","31","40","30"
"252",92907,"SPRING HILL ISD","D","13","N","50","57","29","36","55","64","46","50","25","28","36","36"
"253",92908,"WHITE OAK ISD","D","23","N","57","42","56","35","52","43","61","40","29","21","29","21"
"254",93901,"ANDERSON-SHIRO CISD","E","42","N","69","46","56","32","68","57","71","33","54","17","40","40"
"255",93903,"IOLA ISD","H","42","N","71","49","62","38","80","55","60","40","54","15","20","20"
"256",93904,"NAVASOTA ISD","D","32","N","37","32","33","27","29","38","43","28","31","27","17","17"
"257",94901,"SEGUIN ISD","D","31","N","36","35","30","29","36","36","36","33","18","18","20","18"
"258",94902,"SCHERTZ-CIBOLO-U CITY ISD","C","21","N","48","46","35","36","43","48","52","45","12","10","21","19"
"259",94903,"NAVARRO ISD","D","41","N","60","59","39","45","56","59","64","58","24","18","45","64"
"260",94904,"MARION ISD","D","21","N","51","37","43","33","53","43","50","31","18","14","18","0"
