"","District","Name","TEA","NCES","Charter","Student_Population","Subject","Score"
"132",3907,"CENTRAL ISD","G","41","N","Special","Reading","26"
"133",4901,"ARANSAS COUNTY ISD","G","32","N","All","Math","25"
"134",4901,"ARANSAS COUNTY ISD","G","32","N","All","Reading","28"
"135",4901,"ARANSAS COUNTY ISD","G","32","N","Econ_Dis","Math","24"
"136",4901,"ARANSAS COUNTY ISD","G","32","N","Econ_Dis","Reading","24"
"137",4901,"ARANSAS COUNTY ISD","G","32","N","Female","Math","20"
"138",4901,"ARANSAS COUNTY ISD","G","32","N","Female","Reading","30"
"139",4901,"ARANSAS COUNTY ISD","G","32","N","Male","Math","29"
"140",4901,"ARANSAS COUNTY ISD","G","32","N","Male","Reading","27"
"141",4901,"ARANSAS COUNTY ISD","G","32","N","At_Risk","Math","9"
"142",4901,"ARANSAS COUNTY ISD","G","32","N","At_Risk","Reading","9"
"143",4901,"ARANSAS COUNTY ISD","G","32","N","Special","Math","9"
"144",4901,"ARANSAS COUNTY ISD","G","32","N","Special","Reading","9"
"145",7902,"JOURDANTON ISD","G","32","N","All","Math","33"
"146",7902,"JOURDANTON ISD","G","32","N","All","Reading","29"
"147",7902,"JOURDANTON ISD","G","32","N","Econ_Dis","Math","25"
"148",7902,"JOURDANTON ISD","G","32","N","Econ_Dis","Reading","24"
"149",7902,"JOURDANTON ISD","G","32","N","Female","Math","27"
"150",7902,"JOURDANTON ISD","G","32","N","Female","Reading","32"
"151",7902,"JOURDANTON ISD","G","32","N","Male","Math","40"
"152",7902,"JOURDANTON ISD","G","32","N","Male","Reading","26"
"153",7902,"JOURDANTON ISD","G","32","N","At_Risk","Math","8"
"154",7902,"JOURDANTON ISD","G","32","N","At_Risk","Reading","13"
"155",7902,"JOURDANTON ISD","G","32","N","Special","Math","27"
"156",7902,"JOURDANTON ISD","G","32","N","Special","Reading","9"
"157",7904,"LYTLE ISD","G","31","N","All","Math","25"
"158",7904,"LYTLE ISD","G","31","N","All","Reading","31"
"159",7904,"LYTLE ISD","G","31","N","Econ_Dis","Math","20"
"160",7904,"LYTLE ISD","G","31","N","Econ_Dis","Reading","25"
"161",7904,"LYTLE ISD","G","31","N","Female","Math","24"
"162",7904,"LYTLE ISD","G","31","N","Female","Reading","33"
"163",7904,"LYTLE ISD","G","31","N","Male","Math","26"
"164",7904,"LYTLE ISD","G","31","N","Male","Reading","28"
"165",7904,"LYTLE ISD","G","31","N","At_Risk","Math","12"
"166",7904,"LYTLE ISD","G","31","N","At_Risk","Reading","18"
"167",7904,"LYTLE ISD","G","31","N","Special","Math","0"
"168",7904,"LYTLE ISD","G","31","N","Special","Reading","0"
"169",7905,"PLEASANTON ISD","E","32","N","All","Math","34"
"170",7905,"PLEASANTON ISD","E","32","N","All","Reading","29"
"171",7905,"PLEASANTON ISD","E","32","N","Econ_Dis","Math","28"
"172",7905,"PLEASANTON ISD","E","32","N","Econ_Dis","Reading","22"
"173",7905,"PLEASANTON ISD","E","32","N","Female","Math","33"
"174",7905,"PLEASANTON ISD","E","32","N","Female","Reading","31"
"175",7905,"PLEASANTON ISD","E","32","N","Male","Math","35"
"176",7905,"PLEASANTON ISD","E","32","N","Male","Reading","27"
"177",7905,"PLEASANTON ISD","E","32","N","At_Risk","Math","15"
"178",7905,"PLEASANTON ISD","E","32","N","At_Risk","Reading","10"
"179",7905,"PLEASANTON ISD","E","32","N","Special","Math","28"
"180",7905,"PLEASANTON ISD","E","32","N","Special","Reading","31"
"181",7906,"POTEET ISD","G","32","N","All","Math","34"
"182",7906,"POTEET ISD","G","32","N","All","Reading","34"
"183",7906,"POTEET ISD","G","32","N","Econ_Dis","Math","30"
"184",7906,"POTEET ISD","G","32","N","Econ_Dis","Reading","33"
"185",7906,"POTEET ISD","G","32","N","Female","Math","33"
"186",7906,"POTEET ISD","G","32","N","Female","Reading","47"
"187",7906,"POTEET ISD","G","32","N","Male","Math","34"
"188",7906,"POTEET ISD","G","32","N","Male","Reading","23"
"189",7906,"POTEET ISD","G","32","N","At_Risk","Math","24"
"190",7906,"POTEET ISD","G","32","N","At_Risk","Reading","24"
"191",7906,"POTEET ISD","G","32","N","Special","Math","33"
"192",7906,"POTEET ISD","G","32","N","Special","Reading","38"
"193",8901,"BELLVILLE ISD","E","32","N","All","Math","47"
"194",8901,"BELLVILLE ISD","E","32","N","All","Reading","49"
"195",8901,"BELLVILLE ISD","E","32","N","Econ_Dis","Math","29"
"196",8901,"BELLVILLE ISD","E","32","N","Econ_Dis","Reading","28"
"197",8901,"BELLVILLE ISD","E","32","N","Female","Math","53"
"198",8901,"BELLVILLE ISD","E","32","N","Female","Reading","56"
"199",8901,"BELLVILLE ISD","E","32","N","Male","Math","39"
"200",8901,"BELLVILLE ISD","E","32","N","Male","Reading","42"
"201",8901,"BELLVILLE ISD","E","32","N","At_Risk","Math","20"
"202",8901,"BELLVILLE ISD","E","32","N","At_Risk","Reading","8"
"203",8901,"BELLVILLE ISD","E","32","N","Special","Math","30"
"204",8901,"BELLVILLE ISD","E","32","N","Special","Reading","20"
"205",8902,"SEALY ISD","D","41","N","All","Math","38"
"206",8902,"SEALY ISD","D","41","N","All","Reading","38"
"207",8902,"SEALY ISD","D","41","N","Econ_Dis","Math","30"
"208",8902,"SEALY ISD","D","41","N","Econ_Dis","Reading","32"
"209",8902,"SEALY ISD","D","41","N","Female","Math","38"
"210",8902,"SEALY ISD","D","41","N","Female","Reading","44"
"211",8902,"SEALY ISD","D","41","N","Male","Math","38"
"212",8902,"SEALY ISD","D","41","N","Male","Reading","33"
"213",8902,"SEALY ISD","D","41","N","At_Risk","Math","13"
"214",8902,"SEALY ISD","D","41","N","At_Risk","Reading","10"
"215",8902,"SEALY ISD","D","41","N","Special","Math","6"
"216",8902,"SEALY ISD","D","41","N","Special","Reading","19"
"217",9901,"MULESHOE ISD","G","33","N","All","Math","29"
"218",9901,"MULESHOE ISD","G","33","N","All","Reading","34"
"219",9901,"MULESHOE ISD","G","33","N","Econ_Dis","Math","25"
"220",9901,"MULESHOE ISD","G","33","N","Econ_Dis","Reading","30"
"221",9901,"MULESHOE ISD","G","33","N","Female","Math","20"
"222",9901,"MULESHOE ISD","G","33","N","Female","Reading","31"
"223",9901,"MULESHOE ISD","G","33","N","Male","Math","39"
"224",9901,"MULESHOE ISD","G","33","N","Male","Reading","37"
"225",9901,"MULESHOE ISD","G","33","N","At_Risk","Math","20"
"226",9901,"MULESHOE ISD","G","33","N","At_Risk","Reading","20"
"227",9901,"MULESHOE ISD","G","33","N","Special","Math","7"
"228",9901,"MULESHOE ISD","G","33","N","Special","Reading","14"
"229",10902,"BANDERA ISD","B","42","N","All","Math","41"
"230",10902,"BANDERA ISD","B","42","N","All","Reading","41"
"231",10902,"BANDERA ISD","B","42","N","Econ_Dis","Math","35"
"232",10902,"BANDERA ISD","B","42","N","Econ_Dis","Reading","30"
"233",10902,"BANDERA ISD","B","42","N","Female","Math","48"
"234",10902,"BANDERA ISD","B","42","N","Female","Reading","49"
"235",10902,"BANDERA ISD","B","42","N","Male","Math","34"
"236",10902,"BANDERA ISD","B","42","N","Male","Reading","34"
"237",10902,"BANDERA ISD","B","42","N","At_Risk","Math","5"
"238",10902,"BANDERA ISD","B","42","N","At_Risk","Reading","5"
"239",10902,"BANDERA ISD","B","42","N","Special","Math","12"
"240",10902,"BANDERA ISD","B","42","N","Special","Reading","19"
"241",11901,"BASTROP ISD","E","42","N","All","Math","43"
"242",11901,"BASTROP ISD","E","42","N","All","Reading","36"
"243",11901,"BASTROP ISD","E","42","N","Econ_Dis","Math","38"
"244",11901,"BASTROP ISD","E","42","N","Econ_Dis","Reading","29"
"245",11901,"BASTROP ISD","E","42","N","Female","Math","41"
"246",11901,"BASTROP ISD","E","42","N","Female","Reading","39"
"247",11901,"BASTROP ISD","E","42","N","Male","Math","45"
"248",11901,"BASTROP ISD","E","42","N","Male","Reading","35"
"249",11901,"BASTROP ISD","E","42","N","At_Risk","Math","35"
"250",11901,"BASTROP ISD","E","42","N","At_Risk","Reading","23"
"251",11901,"BASTROP ISD","E","42","N","Special","Math","25"
"252",11901,"BASTROP ISD","E","42","N","Special","Reading","20"
"253",11902,"ELGIN ISD","G","41","N","All","Math","27"
"254",11902,"ELGIN ISD","G","41","N","All","Reading","33"
"255",11902,"ELGIN ISD","G","41","N","Econ_Dis","Math","25"
"256",11902,"ELGIN ISD","G","41","N","Econ_Dis","Reading","30"
"257",11902,"ELGIN ISD","G","41","N","Female","Math","26"
"258",11902,"ELGIN ISD","G","41","N","Female","Reading","34"
"259",11902,"ELGIN ISD","G","41","N","Male","Math","28"
"260",11902,"ELGIN ISD","G","41","N","Male","Reading","33"
"261",11902,"ELGIN ISD","G","41","N","At_Risk","Math","21"
"262",11902,"ELGIN ISD","G","41","N","At_Risk","Reading","25"
"263",11902,"ELGIN ISD","G","41","N","Special","Math","30"
"264",11902,"ELGIN ISD","G","41","N","Special","Reading","30"
"265",11904,"SMITHVILLE ISD","G","41","N","All","Math","59"
"266",11904,"SMITHVILLE ISD","G","41","N","All","Reading","42"
"267",11904,"SMITHVILLE ISD","G","41","N","Econ_Dis","Math","40"
"268",11904,"SMITHVILLE ISD","G","41","N","Econ_Dis","Reading","33"
"269",11904,"SMITHVILLE ISD","G","41","N","Female","Math","64"
"270",11904,"SMITHVILLE ISD","G","41","N","Female","Reading","53"
"271",11904,"SMITHVILLE ISD","G","41","N","Male","Math","55"
"272",11904,"SMITHVILLE ISD","G","41","N","Male","Reading","31"
"273",11904,"SMITHVILLE ISD","G","41","N","At_Risk","Math","43"
"274",11904,"SMITHVILLE ISD","G","41","N","At_Risk","Reading","20"
"275",11904,"SMITHVILLE ISD","G","41","N","Special","Math","20"
"276",11904,"SMITHVILLE ISD","G","41","N","Special","Reading","0"
"277",12901,"SEYMOUR ISD","H","43","N","All","Math","36"
"278",12901,"SEYMOUR ISD","H","43","N","All","Reading","43"
"279",12901,"SEYMOUR ISD","H","43","N","Econ_Dis","Math","32"
"280",12901,"SEYMOUR ISD","H","43","N","Econ_Dis","Reading","36"
"281",12901,"SEYMOUR ISD","H","43","N","Female","Math","30"
"282",12901,"SEYMOUR ISD","H","43","N","Female","Reading","55"
"283",12901,"SEYMOUR ISD","H","43","N","Male","Math","41"
"284",12901,"SEYMOUR ISD","H","43","N","Male","Reading","32"
"285",12901,"SEYMOUR ISD","H","43","N","At_Risk","Math","9"
"286",12901,"SEYMOUR ISD","H","43","N","At_Risk","Reading","18"
"287",12901,"SEYMOUR ISD","H","43","N","Special","Math","20"
"288",12901,"SEYMOUR ISD","H","43","N","Special","Reading","0"
"289",13901,"BEEVILLE ISD","E","32","N","All","Math","32"
"290",13901,"BEEVILLE ISD","E","32","N","All","Reading","35"
"291",13901,"BEEVILLE ISD","E","32","N","Econ_Dis","Math","32"
"292",13901,"BEEVILLE ISD","E","32","N","Econ_Dis","Reading","34"
"293",13901,"BEEVILLE ISD","E","32","N","Female","Math","30"
"294",13901,"BEEVILLE ISD","E","32","N","Female","Reading","37"
"295",13901,"BEEVILLE ISD","E","32","N","Male","Math","34"
"296",13901,"BEEVILLE ISD","E","32","N","Male","Reading","33"
"297",13901,"BEEVILLE ISD","E","32","N","At_Risk","Math","18"
"298",13901,"BEEVILLE ISD","E","32","N","At_Risk","Reading","17"
"299",13901,"BEEVILLE ISD","E","32","N","Special","Math","32"
"300",13901,"BEEVILLE ISD","E","32","N","Special","Reading","22"
"301",14804,"ORENDA CHARTER SCHOOL","I","41","Y","All","Math","58"
"302",14804,"ORENDA CHARTER SCHOOL","I","41","Y","All","Reading","59"
"303",14804,"ORENDA CHARTER SCHOOL","I","41","Y","Econ_Dis","Math","27"
"304",14804,"ORENDA CHARTER SCHOOL","I","41","Y","Econ_Dis","Reading","23"
"305",14804,"ORENDA CHARTER SCHOOL","I","41","Y","Female","Math","58"
"306",14804,"ORENDA CHARTER SCHOOL","I","41","Y","Female","Reading","65"
"307",14804,"ORENDA CHARTER SCHOOL","I","41","Y","Male","Math","58"
"308",14804,"ORENDA CHARTER SCHOOL","I","41","Y","Male","Reading","54"
"309",14804,"ORENDA CHARTER SCHOOL","I","41","Y","At_Risk","Math","28"
"310",14804,"ORENDA CHARTER SCHOOL","I","41","Y","At_Risk","Reading","28"
"311",14804,"ORENDA CHARTER SCHOOL","I","41","Y","Special","Math","17"
"312",14804,"ORENDA CHARTER SCHOOL","I","41","Y","Special","Reading","25"
"313",14901,"ACADEMY ISD","F","41","N","All","Math","51"
"314",14901,"ACADEMY ISD","F","41","N","All","Reading","45"
"315",14901,"ACADEMY ISD","F","41","N","Econ_Dis","Math","40"
"316",14901,"ACADEMY ISD","F","41","N","Econ_Dis","Reading","38"
"317",14901,"ACADEMY ISD","F","41","N","Female","Math","45"
"318",14901,"ACADEMY ISD","F","41","N","Female","Reading","52"
"319",14901,"ACADEMY ISD","F","41","N","Male","Math","58"
"320",14901,"ACADEMY ISD","F","41","N","Male","Reading","37"
"321",14901,"ACADEMY ISD","F","41","N","At_Risk","Math","36"
"322",14901,"ACADEMY ISD","F","41","N","At_Risk","Reading","14"
"323",14901,"ACADEMY ISD","F","41","N","Special","Math","11"
"324",14901,"ACADEMY ISD","F","41","N","Special","Reading","33"
"325",14903,"BELTON ISD","D","23","N","All","Math","52"
"326",14903,"BELTON ISD","D","23","N","All","Reading","50"
"327",14903,"BELTON ISD","D","23","N","Econ_Dis","Math","38"
"328",14903,"BELTON ISD","D","23","N","Econ_Dis","Reading","38"
"329",14903,"BELTON ISD","D","23","N","Female","Math","50"
"330",14903,"BELTON ISD","D","23","N","Female","Reading","52"
"331",14903,"BELTON ISD","D","23","N","Male","Math","55"
"332",14903,"BELTON ISD","D","23","N","Male","Reading","47"
"333",14903,"BELTON ISD","D","23","N","At_Risk","Math","29"
"334",14903,"BELTON ISD","D","23","N","At_Risk","Reading","24"
"335",14903,"BELTON ISD","D","23","N","Special","Math","41"
"336",14903,"BELTON ISD","D","23","N","Special","Reading","36"
"337",14906,"KILLEEN ISD","C","12","N","All","Math","50"
"338",14906,"KILLEEN ISD","C","12","N","All","Reading","41"
