DISTRICT,DD003AMA1219R,DD003ARE1219R,DD203AMA1219R,DD203ARE1219R,DD303AMA1219R,DD303ARE1219R,DD403AMA1219R,DD403ARE1219R,DDA03AMA1219R,DDA03ARE1219R,DDB03AMA1219R,DDB03ARE1219R,DDE03AMA1219R,DDE03ARE1219R,DDF03AMA1219R,DDF03ARE1219R,DDH03AMA1219R,DDH03ARE1219R,DDI03AMA1219R,DDI03ARE1219R,DDL03AMA1219R,DDL03ARE1219R,DDM03AMA1219R,DDM03ARE1219R,DDR03AMA1219R,DDR03ARE1219R,DDS03AMA1219R,DDS03ARE1219R,DDW03AMA1219R,DDW03ARE1219R,DNC03AMA1219R,DNC03ARE1219R,DNM03AMA1219R,DNM03ARE1219R,DNS03AMA1219R,DNS03ARE1219R
'014804,-1,-1,60,100,80,100,.,.,58,59,-1,-1,27,23,58,65,55,58,.,.,-1,-1,58,54,28,28,17,25,58,56,62,64,52,52,-1,-1
'014901,57,29,20,40,-1,-1,.,.,51,45,13,25,40,38,45,52,50,56,.,.,67,17,58,37,36,14,11,33,58,45,57,51,34,28,-1,-1
'014902,33,0,.,.,.,.,.,.,50,17,-1,-1,47,13,27,9,50,0,.,.,-1,-1,86,29,22,0,-1,-1,-1,-1,50,17,.,.,.,.
'014903,32,28,61,58,79,79,-1,-1,52,50,29,41,38,38,50,52,40,37,-1,-1,25,22,55,47,29,24,41,36,61,57,53,50,50,50,41,41
'014905,-1,-1,-1,-1,.,.,.,.,60,60,.,.,60,56,59,71,62,46,-1,-1,-1,-1,61,54,48,33,-1,-1,60,67,64,64,33,33,-1,-1
'014906,43,34,53,44,73,62,52,50,50,41,40,31,45,34,49,45,48,39,53,41,42,32,52,36,27,18,33,24,65,54,52,41,48,41,53,40
'014907,-1,-1,-1,-1,.,.,.,.,31,31,-1,-1,27,24,42,38,27,27,.,.,-1,-1,21,25,6,13,-1,-1,33,33,31,28,33,39,.,.
'014908,38,23,50,50,-1,-1,.,.,49,49,-1,-1,37,41,51,53,42,39,-1,-1,20,20,48,46,15,11,18,24,53,53,47,48,57,52,43,29
'014909,37,29,50,38,83,75,-1,-1,38,33,25,24,34,27,38,34,37,33,-1,-1,36,28,39,32,26,20,23,26,48,36,40,34,32,30,38,44
'014910,-1,-1,-1,-1,.,.,.,.,46,35,-1,-1,43,30,45,38,34,22,.,.,-1,-1,46,32,26,16,50,56,49,37,49,37,30,26,17,33
'015801,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015802,29,29,-1,-1,.,.,.,.,39,35,24,10,39,35,31,38,61,71,.,.,29,29,44,33,39,35,33,33,-1,-1,30,23,57,57,-1,-1
'015805,0,0,.,.,.,.,.,.,15,21,.,.,16,22,15,15,15,21,.,.,0,0,15,23,6,10,60,80,.,.,13,21,20,20,.,.
'015806,46,31,-1,-1,.,.,.,.,30,32,13,19,26,33,23,31,39,39,.,.,46,31,38,33,29,26,-1,-1,-1,-1,33,37,24,24,.,.
'015807,0,13,-1,-1,.,.,.,.,14,18,9,27,12,14,19,30,3,7,.,.,0,0,8,4,5,7,-1,-1,44,33,16,16,11,21,-1,-1
'015808,-1,-1,-1,-1,.,.,.,.,25,58,.,.,17,17,21,57,13,53,.,.,-1,-1,30,60,-1,-1,-1,-1,50,63,10,60,36,57,-1,-1
